Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,27.68209000,23.68356000
0.09998400,-51.42716000,78.98621000
0.19996800,-75.17224000,82.93860000
0.29995199,-23.72970000,82.93860000
0.39993599,11.85716000,59.23966000
0.49991999,-27.68209000,55.28728000
0.59990399,-63.29971000,106.63750000
0.69988798,-59.33194000,78.98621000
0.79987198,3.95238700,86.89099000
0.89985598,11.85716000,71.08144000
0.99983998,-63.29971000,165.87720000
1.09982397,-75.17224000,94.78038000
1.19980797,-71.20448000,39.49311000
1.29979197,-27.68209000,43.44550000
1.39977597,-71.20448000,59.23966000
1.49975996,-98.90194000,-11.84178000
1.59974396,-87.02940000,-47.38250000
1.69972796,-47.47478000,-7.88939400
1.79971196,-43.50701000,-43.44550000
1.89969596,-7.90477300,0.00000000
1.99967995,-47.47478000,-114.52690000
2.09966395,-67.25209000,-86.89099000
2.19964795,-55.37955000,59.23966000
2.29963195,-71.20448000,0.00000000
2.39961594,0.00000000,-86.89099000
2.49959994,-23.72970000,-47.38250000
2.59958394,-7.90477300,-78.98621000
2.69956794,15.82493000,-51.33489000
2.79955193,67.25209000,-19.74655000
2.89953593,7.90477300,-7.88939400
2.99951993,67.25209000,-114.52690000
3.09950393,39.55462000,-94.78038000
3.19948792,27.68209000,11.84178000
3.29947192,-3.95238700,-78.98621000
3.39945592,47.47478000,-106.63750000
3.49943992,79.12463000,-51.33489000
3.59942392,63.29971000,-47.38250000
3.69940791,63.29971000,-19.74655000
3.79939191,39.55462000,-51.33489000
3.89937591,67.25209000,-7.88939400
3.99935991,94.94955000,-51.33489000
4.09934390,71.20448000,0.00000000
4.19932790,23.72970000,-19.74655000
4.29931190,87.02940000,-27.63595000
4.39929590,47.47478000,-55.28728000
4.49927989,55.37955000,-59.23966000
4.59926389,63.29971000,47.38250000
4.69924789,98.90194000,3.93700800
4.79923189,3.95238700,-15.79417000
4.89921588,79.12463000,27.63595000
4.99919988,87.02940000,27.63595000
5.09918388,7.90477300,43.44550000
5.19916788,75.17224000,78.98621000
5.29915188,0.00000000,82.93860000
5.39913587,11.85716000,126.38410000
5.49911987,35.60224000,31.58834000
5.59910387,19.77731000,63.19205000
5.69908787,-19.77731000,3.93700800
5.79907186,-31.64985000,-11.84178000
5.89905586,7.90477300,-11.84178000
5.99903986,-7.90477300,55.28728000
6.09902386,-31.64985000,75.03383000
6.19900785,15.82493000,31.58834000
6.29899185,-43.50701000,63.19205000
6.39897585,15.82493000,-11.84178000
6.49895985,31.64985000,-7.88939400
6.59894384,63.29971000,173.78200000
6.69892784,23.72970000,94.78038000
6.79891184,55.37955000,43.44550000
6.89889584,39.55462000,19.74655000
6.99887984,71.20448000,35.54072000
7.09886383,-31.64985000,31.58834000
7.19884783,-35.60224000,118.47930000
7.29883183,-59.33194000,47.38250000
7.39881583,-55.37955000,63.19205000
7.49879982,-71.20448000,71.08144000
7.59878382,-106.82210000,7.88939400
7.69876782,-75.17224000,3.93700800
7.79875182,-23.72970000,15.79417000
7.89873581,-79.12463000,-11.84178000
7.99871981,-51.42716000,59.23966000
8.09870381,-75.17224000,27.63595000
8.19868781,-63.29971000,-11.84178000
8.29867180,-94.94955000,82.93860000
8.39865580,-27.68209000,51.33489000
8.49863980,-63.29971000,27.63595000
8.59862380,-102.85430000,-15.79417000
8.69860779,47.47478000,3.93700800
8.79859179,-59.33194000,43.44550000
8.89857579,-87.02940000,35.54072000
8.99855979,35.60224000,-31.58834000
9.09854379,-122.64700000,59.23966000
9.19852778,7.90477300,15.79417000
9.29851178,-67.25209000,82.93860000
9.39849578,-3.95238700,71.08144000
9.49847978,27.68209000,-43.44550000
9.59846377,-27.68209000,-43.44550000
9.69844777,-7.90477300,-3.93700800
9.79843177,-110.77450000,39.49311000
9.89841577,-11.85716000,35.54072000
9.99839976,11.85716000,7.88939400
10.09838376,19.77731000,-23.68356000
10.19836776,-59.33194000,3.93700800
10.29835176,-55.37955000,-59.23966000
10.39833575,-19.77731000,-43.44550000
10.49831975,23.72970000,-3.93700800
10.59830375,-11.85716000,-27.63595000
10.69828775,-67.25209000,7.88939400
10.79827175,-19.77731000,3.93700800
10.89825574,7.90477300,-82.93860000
10.99823974,-27.68209000,-7.88939400
11.09822374,3.95238700,-75.03383000
11.19820774,27.68209000,-110.57460000
11.29819173,-71.20448000,-63.19205000
11.39817573,3.95238700,-11.84178000
11.49815973,19.77731000,-43.44550000
11.59814373,47.47478000,-94.78038000
11.69812772,15.82493000,-150.08300000
11.79811172,11.85716000,-138.22590000
11.89809572,-27.68209000,-78.98621000
11.99807972,-23.72970000,-39.49311000
12.09806371,23.72970000,-35.54072000
12.19804771,-15.82493000,43.44550000
12.29803171,47.47478000,-19.74655000
12.39801571,102.85430000,-3.93700800
12.49799971,-27.68209000,-3.93700800
12.59798370,-19.77731000,-23.68356000
12.69796770,-31.64985000,39.49311000
12.79795170,23.72970000,51.33489000
12.89793570,51.42716000,-23.68356000
12.99791969,-27.68209000,-7.88939400
13.09790369,-19.77731000,39.49311000
13.19788769,-19.77731000,67.12906000
13.29787169,27.68209000,0.00000000
13.39785568,-7.90477300,3.93700800
13.49783968,-51.42716000,51.33489000
13.59782368,39.55462000,11.84178000
13.69780768,-15.82493000,47.38250000
13.79779167,31.64985000,-31.58834000
13.89777567,79.12463000,-67.12906000
13.99775967,-15.82493000,114.52690000
14.09774367,-31.64985000,106.63750000
14.19772767,19.77731000,98.73277000
14.29771166,15.82493000,47.38250000
14.39769566,51.42716000,-15.79417000
14.49767966,-27.68209000,-19.74655000
14.59766366,-23.72970000,59.23966000
14.69764765,-31.64985000,63.19205000
14.79763165,-47.47478000,47.38250000
14.89761565,-59.33194000,51.33489000
14.99759965,47.47478000,39.49311000
15.09758364,-67.25209000,82.93860000
15.19756764,-39.55462000,-7.88939400
15.29755164,-11.85716000,-11.84178000
15.39753564,-43.50701000,106.63750000
15.49751963,94.94955000,-7.88939400
15.59750363,-3.95238700,-47.38250000
15.69748763,39.55462000,0.00000000
15.79747163,55.37955000,-7.88939400
15.89745563,-19.77731000,-15.79417000
15.99743962,27.68209000,35.54072000
16.09742362,39.55462000,82.93860000
